trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-100,-558.95354100076,"{0: 77, 1: 10, 2: 20, 3: 5, 4: 8}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-17,-264.5854085369435,"{0: 21, 1: 0, 2: 10, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-61,-450.9302223419643,"{0: 51, 1: 7, 2: 19, 3: 3, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,-51,-517.5234401183767,"{0: 44, 1: 6, 2: 27, 3: 4, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,-46,-311.21098649062014,"{0: 58, 1: 5, 2: 11, 3: 1, 4: 6}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,-10,-80.44441799185377,"{0: 27, 1: 0, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,-33,-161.75281584613762,"{0: 40, 1: 2, 2: 6, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,-3,-157.2243106298493,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,15,-12.805880401369599,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,5,-28.29576076769192,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,-36,-138.33166526682203,"{0: 48, 1: 4, 2: 10, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,14,9.438497219399103,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,-3,-108.55780277639877,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,10,11.355488312381729,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-59.25192668991928,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-30.473284995023107,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,8,-46.814246214481464,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,11,15.602520916063163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,-33,-110.55799511583848,"{0: 58, 1: 0, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.01}",25,18,0.6691600265389293,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,-2,42.32536161235929,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,9,23.680156070509494,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,15,10.566031857700773,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,-15,-26.65544693172855,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,3,-98.49063862092865,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 3}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,-20,4.97467146052318,"{0: 38, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,-38,-23.71055099970171,"{0: 54, 1: 0, 2: 1, 3: 1, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,4,-53.853451877062085,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,18,14.018046172902055,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,9,-26.220743958847958,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
