trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,-9,-142.48046254546347,"{0: 16, 1: 0, 2: 11, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,-20,-230.00439501495038,"{0: 27, 1: 6, 2: 8, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,-58,-338.27050252011463,"{0: 46, 1: 8, 2: 18, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,-24,-223.05691177092683,"{0: 31, 1: 6, 2: 8, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-99.59273623770059,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,-25,-261.8985995594479,"{0: 29, 1: 3, 2: 7, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,-28,-185.7591359446844,"{0: 33, 1: 3, 2: 8, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",30,11,-162.7142316415893,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,-8,-102.72168920355648,"{0: 20, 1: 0, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,-5,-123.34072477728216,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,-76,-393.955044016235,"{0: 61, 1: 5, 2: 21, 3: 5, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",30,-5,-156.83805068313313,"{0: 23, 1: 2, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,14,-11.25508187832971,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",30,-100,-403.32192783487034,"{0: 92, 1: 13, 2: 15, 3: 3, 4: 7}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,2,-37.29526772434878,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,11,-48.179510130356796,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",25,-10,-171.14300457235007,"{0: 21, 1: 1, 2: 10, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,-70,-301.50633727530743,"{0: 62, 1: 6, 2: 14, 3: 5, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,-100,-496.80390208571214,"{0: 87, 1: 8, 2: 19, 3: 2, 4: 9}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",25,-22,-207.15715227832476,"{0: 32, 1: 2, 2: 8, 3: 2, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",20,-14,-165.81511685276476,"{0: 17, 1: 8, 2: 5, 3: 3, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",25,-11,-175.10043301020332,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",20,-97,-654.2443423813903,"{0: 69, 1: 12, 2: 21, 3: 6, 4: 9}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,-49,-293.1855442962177,"{0: 50, 1: 3, 2: 16, 3: 0, 4: 5}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",20,-98,-583.7514826121229,"{0: 75, 1: 9, 2: 21, 3: 4, 4: 9}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,-14,-38.96074397311925,"{0: 28, 1: 2, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,9,-85.09797722479848,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,-23,-94.10351543304817,"{0: 30, 1: 1, 2: 10, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,-19,-137.52534992906888,"{0: 29, 1: 2, 2: 4, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,-2,-41.827339059170825,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",25,15,-2.0213849593752684,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,9,-40.63029359104553,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",25,15,-6.3698150793370685,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,-79,-292.66543595039303,"{0: 70, 1: 6, 2: 17, 3: 2, 4: 4}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,-8,-163.96621786791695,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 4}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,-95,-189.96785159468743,"{0: 86, 1: 10, 2: 14, 3: 4, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,-12,-23.08504761983792,"{0: 29, 1: 2, 2: 5, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",30,-2,-130.7097957246414,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,-9,-116.41314430815964,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,1,-138.42101720009148,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 3}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",30,4,-111.56933505200632,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,-28,-153.43622279031163,"{0: 29, 1: 4, 2: 12, 3: 3, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,-3,-52.95021340243137,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,2,-66.13503318356538,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,10,-43.4280193559103,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",35,-50,-152.05004336351544,"{0: 68, 1: 4, 2: 7, 3: 3, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,-3,-49.54169119202697,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 1}",0
