trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",35,-17,-202.5821099853082,"{0: 33, 1: 7, 2: 8, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",30,-58,-503.0498594577455,"{0: 51, 1: 10, 2: 16, 3: 3, 4: 8}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,-100,-675.4792721314134,"{0: 79, 1: 6, 2: 21, 3: 1, 4: 13}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,-34,-211.1519777409014,"{0: 34, 1: 2, 2: 15, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,12,-9.525290046071252,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,-61,-414.7516592882265,"{0: 57, 1: 7, 2: 12, 3: 3, 4: 7}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,8,-6.178725165469097,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,-76,-424.72669884967564,"{0: 66, 1: 4, 2: 15, 3: 4, 4: 7}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,-37,-235.59499447230388,"{0: 38, 1: 1, 2: 11, 3: 5, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",20,-38,-194.57973383026246,"{0: 42, 1: 3, 2: 8, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,-17,-193.16504208123666,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,9,14.344878924852377,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,-100,-445.76677809003473,"{0: 72, 1: 12, 2: 29, 3: 3, 4: 4}",0
