trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.88}",20,10,-17.111982964983824,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.7744}",20,-14,-120.90097636995678,"{0: 22, 1: 4, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.681472}",30,9,-70.4848935044482,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.59969536}",25,-16,-195.08520985524035,"{0: 23, 1: 2, 2: 12, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5277319168}",20,-100,-759.1468431751941,"{0: 69, 1: 13, 2: 20, 3: 6, 4: 12}",0
6,False,"{'a': 0.5, 'e': 0.46440408678399997}",20,-81,-579.5597471602892,"{0: 62, 1: 5, 2: 20, 3: 6, 4: 8}",0
7,False,"{'a': 0.5, 'e': 0.40867559636991996}",25,-100,-546.779060483813,"{0: 77, 1: 13, 2: 22, 3: 7, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.35963452480552954}",20,-100,-790.1970277155497,"{0: 62, 1: 11, 2: 29, 3: 9, 4: 9}",0
9,False,"{'a': 0.5, 'e': 0.316478381828866}",35,-98,-579.6305645510315,"{0: 81, 1: 17, 2: 24, 3: 3, 4: 8}",0
10,False,"{'a': 0.5, 'e': 0.2785009760094021}",20,-100,-752.5988963947685,"{0: 73, 1: 13, 2: 14, 3: 7, 4: 13}",0
11,False,"{'a': 0.5, 'e': 0.24508085888827386}",20,-12,-225.06446511114606,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.215671155821681}",20,-50,-309.71295278128457,"{0: 41, 1: 6, 2: 18, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.1897906171230793}",25,-19,-242.97408510110066,"{0: 27, 1: 2, 2: 11, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.16701574306830977}",25,-100,-574.3839267271763,"{0: 76, 1: 14, 2: 24, 3: 3, 4: 8}",0
15,False,"{'a': 0.5, 'e': 0.1469738539001126}",20,-23,-155.25074181660352,"{0: 27, 1: 5, 2: 7, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.1293369914320991}",25,11,-105.79806771822273,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1138165524602472}",35,-12,-156.0249952523327,"{0: 31, 1: 5, 2: 8, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.10015856616501755}",20,-81,-292.11342319628596,"{0: 69, 1: 8, 2: 18, 3: 4, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.08813953822521545}",20,-100,-392.17031389187173,"{0: 76, 1: 14, 2: 22, 3: 6, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.07756279363818959}",25,2,-112.69049363568105,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 2}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,-48,-311.67101505414956,"{0: 44, 1: 5, 2: 12, 3: 3, 4: 4}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,-100,-841.1237817862361,"{0: 71, 1: 9, 2: 25, 3: 7, 4: 13}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,3,-68.91643378354331,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,7,-97.7316293007447,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,-32,-241.95843246138142,"{0: 37, 1: 1, 2: 14, 3: 2, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,-94,-514.2143383364187,"{0: 80, 1: 12, 2: 21, 3: 4, 4: 7}",0
7,True,"{'a': 0.0, 'e': 0.0}",35,-20,-267.5921909438115,"{0: 31, 1: 7, 2: 13, 3: 1, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,-95,-709.1421248171541,"{0: 71, 1: 8, 2: 17, 3: 8, 4: 11}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,-70,-543.0409308668108,"{0: 56, 1: 12, 2: 21, 3: 5, 4: 6}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,-32,-435.1902210606492,"{0: 26, 1: 11, 2: 18, 3: 2, 4: 5}",0
